Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
China,1220,2003_04_04,Yes,0,49,,,,,,,
"China, Hong Kong Special Administrative Region",761,2003_04_04,Yes,0,17,,,,,,,
"China, Taiwan",15,2003_04_04,Yes,0,0,,,,,,,
France,3,2003_04_04,None,0,0,,,,,,,
Germany,5,2003_04_04,None,0,0,,,,,,,
Italy,3,2003_04_04,None,0,0,,,,,,,
Republic of Ireland,1,2003_04_04,None,0,0,,,,,,,
Romania,1,2003_04_04,None,0,0,,,,,,,
Singapore,100,2003_04_04,Yes,0,5,,,,,,,
Spain,1,2003_04_04,None,0,0,,,,,,,
Switzerland,2,2003_04_04,None,0,0,,,,,,,
Thailand,7,2003_04_04,None,0,2,,,,,,,
United Kingdom,3,2003_04_04,None,0,0,,,,,,,
United States,100,2003_04_04,Being determined,0,0,,,,,,,
Viet Nam,59,2003_04_04,Yes,0,4,,,,,,,
Total,2353,2003_04_04,,0,84,,,,,,,
Australia,1,2003_04_05,None,0,0,,,,,,,
Belgium,1,2003_04_05,None,0,0,,,,,,,
Brazil,1,2003_04_05,None,0,0,,,,,,,
Canada,74,2003_04_05,Yes,0,7,,,,,,,
China,1220,2003_04_05,Yes,0,49,,,,,,,
"China, Hong Kong Special Administrative Region",800,2003_04_05,Yes,0,20,,,,,,,
"China, Taiwan",17,2003_04_05,Yes,0,0,,,,,,,
France,3,2003_04_05,None,0,0,,,,,,,
Germany,5,2003_04_05,None,0,0,,,,,,,
Italy,3,2003_04_05,None,0,0,,,,,,,
Malaysia,1,2003_04_05,None,0,1,,,,,,,
Republic of Ireland,1,2003_04_05,None,0,0,,,,,,,
Romania,1,2003_04_05,None,0,0,,,,,,,
Singapore,101,2003_04_05,Yes,0,6,,,,,,,
Spain,1,2003_04_05,None,0,0,,,,,,,
Switzerland,1,2003_04_05,None,0,0,,,,,,,
Thailand,7,2003_04_05,None,0,2,,,,,,,
United Kingdom,4,2003_04_05,None,0,0,,,,,,,
United States,115,2003_04_05,None,0,0,,,,,,,
Viet Nam,59,2003_04_05,Yes,0,4,,,,,,,
Total,2416,2003_04_05,,0,89,,,,,,,
Australia,1,2003_04_07,None,0,0,,,,,,,
Brazil,1,2003_04_07,None,0,0,,,,,,,
Canada,90,2003_04_07,Yes,0,9,,,,,,,
China,1268,2003_04_07,Yes,0,53,,,,,,,
"China, Hong Kong Special Administrative Region",883,2003_04_07,Yes,0,23,,,,,,,
"China, Taiwan",21,2003_04_07,Yes,0,0,,,,,,,
France,3,2003_04_07,None,0,0,,,,,,,
Germany,5,2003_04_07,None,0,0,,,,,,,
Italy,3,2003_04_07,None,0,0,,,,,,,
Malaysia,1,2003_04_07,None,0,1,,,,,,,
Republic of Ireland,1,2003_04_07,None,0,0,,,,,,,
Romania,1,2003_04_07,None,0,0,,,,,,,
Singapore,106,2003_04_07,Yes,0,6,,,,,,,
Spain,1,2003_04_07,None,0,0,,,,,,,
Switzerland,1,2003_04_07,None,0,0,,,,,,,
Thailand,7,2003_04_07,None,0,2,,,,,,,
United Kingdom,5,2003_04_07,None,0,0,,,,,,,
United States,141,2003_04_07,None,0,0,,,,,,,
Viet Nam,62,2003_04_07,Yes,0,4,,,,,,,
Total,2601,2003_04_07,,0,98,,,,,,,
Australia,1,2003_04_08,None,0,0,,,,,,,
Brazil,1,2003_04_08,None,0,0,,,,,,,
Canada,91,2003_04_08,Yes,0,10,,,,,,,
China,1279,2003_04_08,Yes,0,53,,,,,,,
"China, Hong Kong Special Administrative Region",928,2003_04_08,Yes,0,25,,,,,,,
"China, Taiwan",19,2003_04_08,Yes,0,0,,,,,,,
France,4,2003_04_08,None,0,0,,,,,,,
Germany,5,2003_04_08,None,0,0,,,,,,,
Italy,3,2003_04_08,None,0,0,,,,,,,
Malaysia,1,2003_04_08,None,0,1,,,,,,,
Republic of Ireland,1,2003_04_08,None,0,0,,,,,,,
Romania,1,2003_04_08,None,0,0,,,,,,,
Singapore,113,2003_04_08,Yes,0,8,,,,,,,
Spain,1,2003_04_08,None,0,0,,,,,,,
Switzerland,1,2003_04_08,None,0,0,,,,,,,
Thailand,7,2003_04_08,None,0,2,,,,,,,
United Kingdom,5,2003_04_08,None,0,0,,,,,,,
United States,148,2003_04_08,None,0,0,,,,,,,
Viet Nam,62,2003_04_08,Yes,0,4,,,,,,,
Total,2671,2003_04_08,,0,103,,,,,,,
Brazil,1,2003_04_09,None,0,0,,,,,,,
Canada,94,2003_04_09,Yes,0,10,,,,,,,
China,1280,2003_04_09,Yes,0,53,,,,,,,
"China, Hong Kong Special Administrative Region",970,2003_04_09,Yes,0,27,,,,,,,
"China, Taiwan",19,2003_04_09,Yes,0,0,,,,,,,
France,4,2003_04_09,None,0,0,,,,,,,
Germany,5,2003_04_09,None,0,0,,,,,,,
Italy,3,2003_04_09,None,0,0,,,,,,,
Malaysia,1,2003_04_09,None,0,1,,,,,,,
Republic of Ireland,1,2003_04_09,None,0,0,,,,,,,
Romania,1,2003_04_09,None,0,0,,,,,,,
Singapore,118,2003_04_09,Yes,0,9,,,,,,,
Spain,1,2003_04_09,None,0,0,,,,,,,
Switzerland,1,2003_04_09,None,0,0,,,,,,,
Thailand,7,2003_04_09,None,0,2,,,,,,,
United Kingdom,5,2003_04_09,None,0,0,,,,,,,
United States,149,2003_04_09,None,0,0,,,,,,,
Viet Nam,62,2003_04_09,Yes,0,4,,,,,,,
Total,2722,2003_04_09,,0,106,,,,,,,
Australia,4,2003_04_24,None,3,0,,,,,,,
Brazil,2,2003_04_24,None,2,0,,,,,,,
Bulgaria,1,2003_04_24,None,0,0,,,,,,,
