Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
Spain,1,2003_05_16,37713,1,0,,,,,,,
Sweden,3,2003_05_16,37729,3,0,,,,,,,
Switzerland,1,2003_05_16,37697,1,0,,,,,,,
Thailand,8,2003_05_16,37754,5,2,,,,,,,
United Kingdom,4,2003_05_16,37740,4,0,,,,,,,
United States,65,2003_05_16,37751,34,0,,,,,,,
Viet Nam,63,2003_05_16,37725,58,5,,,,,,,
Total,7739,2003_05_16,,3590,611,,,,,,,
Australia,6,2003_05_17,37753,6,0,,,,,,,
Brazil,2,2003_05_17,37721,2,0,,,,,,,
Canada,140,2003_05_17,37745,106,23,,,,,,,
China,5209,2003_05_17,37758,2009,282,,,,,,,
"China, Hong Kong Special Administrative Region^4",1710,2003_05_17,37758,1191,243,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_17,37750,0,0,,,,,,,
"China, Taiwan",274,2003_05_17,37757,46,35,,,,,,,
Colombia,1,2003_05_17,37746,1,0,,,,,,,
Finland,1,2003_05_17,37748,0,0,,,,,,,
France,7,2003_05_17,37750,6,0,,,,,,,
Germany,9,2003_05_17,37750,9,0,,,,,,,
India,3,2003_05_17,37754,3,0,,,,,,,
Indonesia,2,2003_05_17,37734,2,0,,,,,,,
Italy,9,2003_05_17,37740,9,0,,,,,,,
Kuwait,1,2003_05_17,37720,1,0,,,,,,,
Malaysia,7,2003_05_17,37750,5,2,,,,,,,
Mongolia,9,2003_05_17,37747,7,0,,,,,,,
New Zealand,1,2003_05_17,37741,1,0,,,,,,,
Philippines,12,2003_05_17,37756,4,2,,,,,,,
Republic of Ireland,1,2003_05_17,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_17,37755,1,0,,,,,,,
Romania,1,2003_05_17,37707,1,0,,,,,,,
Singapore,205,2003_05_17,37750,157,28,,,,,,,
South Africa,1,2003_05_17,37720,0,1,,,,,,,
Spain,1,2003_05_17,37713,1,0,,,,,,,
Sweden,3,2003_05_17,37729,3,0,,,,,,,
Switzerland,1,2003_05_17,37697,1,0,,,,,,,
Thailand,8,2003_05_17,37754,5,2,,,,,,,
United Kingdom,4,2003_05_17,37740,4,0,,,,,,,
United States,66,2003_05_17,37757,34,0,,,,,,,
Viet Nam,63,2003_05_17,37725,58,5,,,,,,,
Total,7761,2003_05_17,,3674,623,,,,,,,
Australia,6,2003_05_19,37753,6,0,,,,,,,
Brazil,2,2003_05_19,37721,2,0,,,,,,,
Canada,140,2003_05_19,37745,106,23,,,,,,,
China,5236,2003_05_19,37760,2148,289,,,,,,,
"China, Hong Kong Special Administrative Region^5",1714,2003_05_19,37760,1213,251,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_19,37750,0,0,,,,,,,
"China, Taiwan",344,2003_05_19,37759,50,40,,,,,,,
Colombia,1,2003_05_19,37746,1,0,,,,,,,
Finland,1,2003_05_19,37748,0,0,,,,,,,
France,7,2003_05_19,37750,6,0,,,,,,,
Germany,9,2003_05_19,37750,9,0,,,,,,,
India,3,2003_05_19,37754,3,0,,,,,,,
Indonesia,2,2003_05_19,37734,2,0,,,,,,,
Italy,9,2003_05_19,37740,9,0,,,,,,,
Kuwait,1,2003_05_19,37720,1,0,,,,,,,
Malaysia,7,2003_05_19,37750,5,2,,,,,,,
Mongolia,9,2003_05_19,37747,8,0,,,,,,,
New Zealand,1,2003_05_19,37741,1,0,,,,,,,
Philippines,12,2003_05_19,37756,8,2,,,,,,,
Republic of Ireland,1,2003_05_19,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_19,37755,1,0,,,,,,,
Romania,1,2003_05_19,37707,1,0,,,,,,,
Singapore,206,2003_05_19,37759,160,28,,,,,,,
South Africa,1,2003_05_19,37720,0,1,,,,,,,
Spain,1,2003_05_19,37713,1,0,,,,,,,
Sweden,3,2003_05_19,37729,3,0,,,,,,,
Switzerland,1,2003_05_19,37697,1,0,,,,,,,
Thailand,8,2003_05_19,37754,5,2,,,,,,,
United Kingdom,4,2003_05_19,37740,4,0,,,,,,,
United States,67,2003_05_19,37758,34,0,,,,,,,
Viet Nam,63,2003_05_19,37725,58,5,,,,,,,
Total,7864,2003_05_19,,3847,643,,,,,,,
Australia,6,2003_05_20,37753,6,0,,,,,,,
Brazil,2,2003_05_20,37721,2,0,,,,,,,
Canada,140,2003_05_20,37745,106,23,,,,,,,
China,5248,2003_05_20,37761,2254,294,,,,,,,
"China, Hong Kong Special Administrative Region^4",1718,2003_05_20,37761,1229,253,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_20,37750,0,0,,,,,,,
"China, Taiwan",383,2003_05_20,37760,63,52,,,,,,,
Colombia,1,2003_05_20,37746,1,0,,,,,,,
Finland,1,2003_05_20,37748,0,0,,,,,,,
France,7,2003_05_20,37750,6,0,,,,,,,
Germany,9,2003_05_20,37750,9,0,,,,,,,
India,3,2003_05_20,37754,3,0,,,,,,,
Indonesia,2,2003_05_20,37734,2,0,,,,,,,
Italy,9,2003_05_20,37740,9,0,,,,,,,
Kuwait,1,2003_05_20,37720,1,0,,,,,,,
Malaysia,7,2003_05_20,37750,5,2,,,,,,,
Mongolia,9,2003_05_20,37747,8,0,,,,,,,
New Zealand,1,2003_05_20,37741,1,0,,,,,,,
Philippines,12,2003_05_20,37756,8,2,,,,,,,
Republic of Ireland,1,2003_05_20,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_20,37755,2,0,,,,,,,
Romania,1,2003_05_20,37707,1,0,,,,,,,
Singapore,206,2003_05_20,37759,161,28,,,,,,,
South Africa,1,2003_05_20,37720,0,1,,,,,,,
Spain,1,2003_05_20,37713,1,0,,,,,,,
Sweden,3,2003_05_20,37729,3,0,,,,,,,
Switzerland,1,2003_05_20,37697,1,0,,,,,,,
Thailand,8,2003_05_20,37754,5,2,,,,,,,
United Kingdom,4,2003_05_20,37740,4,0,,,,,,,
United States,67,2003_05_20,37758,34,0,,,,,,,
Viet Nam,63,2003_05_20,37725,58,5,,,,,,,
Total,7919,2003_05_20,,3984,662,,,,,,,
Australia,6,2003_05_21,37753,6,0,,,,,,,
Brazil,2,2003_05_21,37721,2,0,,,,,,,
Canada,140,2003_05_21,37745,108,23,,,,,,,
China,5249,2003_05_21,37762,2335,296,,,,,,,
"China, Hong Kong Special Administrative Region^4",1719,2003_05_21,37762,1237,255,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_21,37750,0,0,,,,,,,
"China, Taiwan",418,2003_05_21,37761,71,52,,,,,,,
Colombia,1,2003_05_21,37746,1,0,,,,,,,
Finland,1,2003_05_21,37748,1,0,,,,,,,
France,7,2003_05_21,37750,6,0,,,,,,,
Germany,9,2003_05_21,37750,9,0,,,,,,,
India,3,2003_05_21,37754,3,0,,,,,,,
Indonesia,2,2003_05_21,37734,2,0,,,,,,,
Italy,9,2003_05_21,37740,9,0,,,,,,,
Kuwait,1,2003_05_21,37720,1,0,,,,,,,
Malaysia,8,2003_05_21,37761,5,2,,,,,,,
Mongolia,9,2003_05_21,37747,8,0,,,,,,,
New Zealand,1,2003_05_21,37741,1,0,,,,,,,
Philippines,12,2003_05_21,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_21,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_21,37755,2,0,,,,,,,
Romania,1,2003_05_21,37707,1,0,,,,,,,
Singapore,206,2003_05_21,37759,161,28,,,,,,,
South Africa,1,2003_05_21,37720,0,1,,,,,,,
Spain,1,2003_05_21,37713,1,0,,,,,,,
Sweden,3,2003_05_21,37729,3,0,,,,,,,
Switzerland,1,2003_05_21,37697,1,0,,,,,,,
Thailand,8,2003_05_21,37754,5,2,,,,,,,
United Kingdom,4,2003_05_21,37740,4,0,,,,,,,
United States,66,2003_05_21,37758,33,0,,,,,,,
Viet Nam,63,2003_05_21,37725,58,5,,,,,,,
Total,7956,2003_05_21,,4085,666,,,,,,,
Australia,6,2003_05_22,37753,6,0,,,,,,,
Brazil,2,2003_05_22,37721,2,0,,,,,,,
Canada,140,2003_05_22,37745,109,23,,,,,,,
China,5271,2003_05_22,37763,2445,300,,,,,,,
"China, Hong Kong Special Administrative Region4",1722,2003_05_22,37763,1247,258,,,,,,,
"China, Macao Special Administrative Region",2,2003_05_22,37762,0,0,,,,,,,
"China, Taiwan",483,2003_05_22,37763,74,60,,,,,,,
Colombia,1,2003_05_22,37746,1,0,,,,,,,
Finland,1,2003_05_22,37748,1,0,,,,,,,
France,7,2003_05_22,37750,6,0,,,,,,,
Germany,9,2003_05_22,37750,9,0,,,,,,,
India,3,2003_05_22,37754,3,0,,,,,,,
Indonesia,2,2003_05_22,37734,2,0,,,,,,,
Italy,9,2003_05_22,37740,9,0,,,,,,,
Kuwait,1,2003_05_22,37720,1,0,,,,,,,
Malaysia,8,2003_05_22,37761,5,2,,,,,,,
Mongolia,9,2003_05_22,37747,8,0,,,,,,,
New Zealand,1,2003_05_22,37741,1,0,,,,,,,
Philippines,12,2003_05_22,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_22,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_22,37755,2,0,,,,,,,
Romania,1,2003_05_22,37707,1,0,,,,,,,
Singapore,206,2003_05_22,37759,162,29,,,,,,,
South Africa,1,2003_05_22,37720,0,1,,,,,,,
Spain,1,2003_05_22,37713,1,0,,,,,,,
Sweden,3,2003_05_22,37729,3,0,,,,,,,
Switzerland,1,2003_05_22,37697,1,0,,,,,,,
Thailand,8,2003_05_22,37754,5,2,,,,,,,
United Kingdom,4,2003_05_22,37740,4,0,,,,,,,
United States,65,2003_05_22,37758,33,0,,,,,,,
Viet Nam,63,2003_05_22,37725,58,5,,,,,,,
Total,8046,2003_05_22,,4210,682,,,,,,,
Australia,6,2003_05_23,37753,6,0,,,,,,,
Brazil,2,2003_05_23,37721,2,0,,,,,,,
Canada,140,2003_05_23,37745,109,23,,,,,,,
China,5285,2003_05_23,37764,2544,303,,,,,,,
"China, Hong Kong Special Administrative Region^4",1724,2003_05_23,37764,1255,260,,,,,,,
"China, Macao Special Administrative Region",2,2003_05_23,37762,0,0,,,,,,,
"China, Taiwan",538,2003_05_23,37763,82,60,,,,,,,
Colombia,1,2003_05_23,37746,1,0,,,,,,,
Finland,1,2003_05_23,37748,1,0,,,,,,,
France,7,2003_05_23,37750,6,0,,,,,,,
Germany,9,2003_05_23,37750,9,0,,,,,,,
India,3,2003_05_23,37754,3,0,,,,,,,
Indonesia,2,2003_05_23,37734,2,0,,,,,,,
Italy,9,2003_05_23,37740,9,0,,,,,,,
Kuwait,1,2003_05_23,37720,1,0,,,,,,,
Malaysia,8,2003_05_23,37761,5,2,,,,,,,
Mongolia,9,2003_05_23,37747,8,0,,,,,,,
New Zealand,1,2003_05_23,37741,1,0,,,,,,,
Philippines,12,2003_05_23,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_23,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_23,37755,2,0,,,,,,,
Romania,1,2003_05_23,37707,1,0,,,,,,,
Singapore,206,2003_05_23,37759,163,31,,,,,,,
South Africa,1,2003_05_23,37720,0,1,,,,,,,
Spain,1,2003_05_23,37713,1,0,,,,,,,
Sweden,3,2003_05_23,37729,3,0,,,,,,,
Switzerland,1,2003_05_23,37697,1,0,,,,,,,
Thailand,8,2003_05_23,37754,5,2,,,,,,,
United Kingdom,4,2003_05_23,37740,4,0,,,,,,,
United States,65,2003_05_23,37758,33,0,,,,,,,
Viet Nam,63,2003_05_23,37725,58,5,,,,,,,
Total,8117,2003_05_23,,4326,689,,,,,,,
Australia,6,2003_05_24a,37753,6,0,,,,,,,
Brazil,2,2003_05_24a,37721,2,0,,,,,,,
Canada,140,2003_05_24a,37745,109,23,,,,,,,
China,5309,2003_05_24a,37765,2675,308,,,,,,,
"China, Hong Kong Special Administrative Region^4",1724,2003_05_24a,37764,1266,262,,,,,,,
"China, Macao Special Administrative Region",2,2003_05_24a,37762,0,0,,,,,,,
"China, Taiwan",538,2003_05_24a,37763,82,60,,,,,,,
Colombia,1,2003_05_24a,37746,1,0,,,,,,,
Finland,1,2003_05_24a,37748,1,0,,,,,,,
France,7,2003_05_24a,37750,6,0,,,,,,,
Germany,9,2003_05_24a,37750,9,0,,,,,,,
India,3,2003_05_24a,37754,3,0,,,,,,,
Indonesia,2,2003_05_24a,37734,2,0,,,,,,,
Italy,9,2003_05_24a,37740,9,0,,,,,,,
Kuwait,1,2003_05_24a,37720,1,0,,,,,,,
Malaysia,8,2003_05_24a,37761,5,2,,,,,,,
Mongolia,9,2003_05_24a,37747,8,0,,,,,,,
New Zealand,1,2003_05_24a,37741,1,0,,,,,,,
Philippines,12,2003_05_24a,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_24a,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_24a,37755,2,0,,,,,,,
Romania,1,2003_05_24a,37707,1,0,,,,,,,
Singapore,206,2003_05_24a,37759,163,31,,,,,,,
South Africa,1,2003_05_24a,37720,0,1,,,,,,,
Spain,1,2003_05_24a,37713,1,0,,,,,,,
Sweden,3,2003_05_24a,37729,3,0,,,,,,,
Switzerland,1,2003_05_24a,37697,1,0,,,,,,,
Thailand,8,2003_05_24a,37754,5,2,,,,,,,
United Kingdom,4,2003_05_24a,37740,4,0,,,,,,,
United States,65,2003_05_24a,37758,33,0,,,,,,,
Viet Nam,63,2003_05_24a,37725,58,5,,,,,,,
Total,8141,2003_05_24a,,4468,696,,,,,,,
Australia,6,2003_05_26,37753,6,0,,,,,,,
Brazil,2,2003_05_26,37721,2,0,,,,,,,
Canada,148,2003_05_26,37766,110,26,,,,,,,
China,5316,2003_05_26,37767,2829,317,,,,,,,
"China, Hong Kong Special Administrative Region^5",1726,2003_05_26,37767,1276,267,,,,,,,
"China, Macao Special Administrative Region",2,2003_05_26,37762,0,0,,,,,,,
"China, Taiwan",585,2003_05_26,37767,112,72,,,,,,,
Colombia,1,2003_05_26,37746,1,0,,,,,,,
Finland,1,2003_05_26,37748,1,0,,,,,,,
France,7,2003_05_26,37750,6,0,,,,,,,
Germany,9,2003_05_26,37750,9,0,,,,,,,
India,3,2003_05_26,37754,3,0,,,,,,,
Indonesia,2,2003_05_26,37734,2,0,,,,,,,
Italy,9,2003_05_26,37740,9,0,,,,,,,
Kuwait,1,2003_05_26,37720,1,0,,,,,,,
Malaysia,5,2003_05_26,37761,3,2,,,,,,,
Mongolia,9,2003_05_26,37747,8,0,,,,,,,
New Zealand,1,2003_05_26,37741,1,0,,,,,,,
Philippines,12,2003_05_26,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_26,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_26,37755,2,0,,,,,,,
Romania,1,2003_05_26,37707,1,0,,,,,,,
Singapore,206,2003_05_26,37759,163,31,,,,,,,
South Africa,1,2003_05_26,37720,0,1,,,,,,,
Spain,1,2003_05_26,37713,1,0,,,,,,,
Sweden,3,2003_05_26,37729,3,0,,,,,,,
Switzerland,1,2003_05_26,37697,1,0,,,,,,,
Thailand,8,2003_05_26,37754,6,2,,,,,,,
United Kingdom,4,2003_05_26,37740,4,0,,,,,,,
United States,65,2003_05_26,37758,33,0,,,,,,,
Viet Nam,63,2003_05_26,37725,58,5,,,,,,,
Total,8202,2003_05_26,,4662,725,,,,,,,
Australia,6,2003_05_27,37753,6,0,,,,,,,
Brazil,2,2003_05_27,37721,2,0,,,,,,,
Canada,148,2003_05_27,37766,111,26,,,,,,,
China,5322,2003_05_27,37768,2944,321,,,,,,,
"China, Hong Kong Special Administrative Region^4",1728,2003_05_27,37768,1285,269,,,,,,,
"China, Macao Special Administrative Region",2,2003_05_27,37762,0,0,,,,,,,
"China, Taiwan",596,2003_05_27,37768,112,76,,,,,,,
Colombia,1,2003_05_27,37746,1,0,,,,,,,
Finland,1,2003_05_27,37748,1,0,,,,,,,
France,7,2003_05_27,37750,6,0,,,,,,,
Germany,9,2003_05_27,37750,9,0,,,,,,,
India,3,2003_05_27,37754,3,0,,,,,,,
Indonesia,2,2003_05_27,37734,2,0,,,,,,,
Italy,9,2003_05_27,37740,9,0,,,,,,,
Kuwait,1,2003_05_27,37720,1,0,,,,,,,
Malaysia,5,2003_05_27,37761,3,2,,,,,,,
Mongolia,9,2003_05_27,37747,9,0,,,,,,,
New Zealand,1,2003_05_27,37741,1,0,,,,,,,
Philippines,12,2003_05_27,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_27,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_27,37755,2,0,,,,,,,
Romania,1,2003_05_27,37707,1,0,,,,,,,
Singapore,206,2003_05_27,37759,163,31,,,,,,,
South Africa,1,2003_05_27,37720,0,1,,,,,,,
Spain,1,2003_05_27,37713,1,0,,,,,,,
Sweden,3,2003_05_27,37729,3,0,,,,,,,
Switzerland,1,2003_05_27,37697,1,0,,,,,,,
Thailand,8,2003_05_27,37754,6,2,,,,,,,
United Kingdom,4,2003_05_27,37740,4,0,,,,,,,
United States,65,2003_05_27,37758,32,0,,,,,,,
Viet Nam,63,2003_05_27,37725,58,5,,,,,,,
Total,8221,2003_05_27,,4787,735,,,,,,,
Australia,6,2003_05_28,37753,6,0,,,,,,,
Brazil,2,2003_05_28,37721,2,0,,,,,,,
Canada,149,2003_05_28,37768,111,26,,,,,,,
China,5323,2003_05_28,37769,3036,325,,,,,,,
"China, Hong Kong Special Administrative Region^4",1730,2003_05_28,37769,1295,270,,,,,,,
"China, Macao Special Administrative Region",2,2003_05_28,37762,0,0,,,,,,,
"China, Taiwan",610,2003_05_28,37769,112,81,,,,,,,
Colombia,1,2003_05_28,37746,1,0,,,,,,,
Finland,1,2003_05_28,37748,1,0,,,,,,,
France,7,2003_05_28,37750,6,0,,,,,,,
Germany,9,2003_05_28,37750,9,0,,,,,,,
India,3,2003_05_28,37754,3,0,,,,,,,
Indonesia,2,2003_05_28,37734,2,0,,,,,,,
Italy,9,2003_05_28,37740,9,0,,,,,,,
Kuwait,1,2003_05_28,37720,1,0,,,,,,,
Malaysia,5,2003_05_28,37761,3,2,,,,,,,
Mongolia,9,2003_05_28,37747,9,0,,,,,,,
New Zealand,1,2003_05_28,37741,1,0,,,,,,,
Philippines,12,2003_05_28,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_28,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_28,37755,2,0,,,,,,,
Romania,1,2003_05_28,37707,1,0,,,,,,,
Singapore,206,2003_05_28,37759,165,31,,,,,,,
South Africa,1,2003_05_28,37720,0,1,,,,,,,
Spain,1,2003_05_28,37713,1,0,,,,,,,
Sweden,3,2003_05_28,37729,3,0,,,,,,,
Switzerland,1,2003_05_28,37697,1,0,,,,,,,
Thailand,8,2003_05_28,37754,6,2,,,,,,,
United Kingdom,4,2003_05_28,37740,4,0,,,,,,,
United States,66,2003_05_28,37768,32,0,,,,,,,
Viet Nam,63,2003_05_28,37725,58,5,,,,,,,
Total,8240,2003_05_28,,4891,745,,,,,,,
Australia,6,2003_05_29,37753,6,0,,,,,,,
Brazil,2,2003_05_29,37721,2,0,,,,,,,
Canada,151,2003_05_29,37769,112,26,,,,,,,
China,5325,2003_05_29,37770,3121,327,,,,,,,
"China, Hong Kong Special Administrative Region^4",1732,2003_05_29,37770,1302,273,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_29,37762,0,0,,,,,,,
"China, Taiwan",660,2003_05_29,37770,122,81,,,,,,,
Colombia,1,2003_05_29,37746,1,0,,,,,,,
Finland,1,2003_05_29,37748,1,0,,,,,,,
France,7,2003_05_29,37750,6,0,,,,,,,
Germany,9,2003_05_29,37750,9,0,,,,,,,
India,3,2003_05_29,37754,3,0,,,,,,,
Indonesia,2,2003_05_29,37734,2,0,,,,,,,
Italy,9,2003_05_29,37740,9,0,,,,,,,
Kuwait,1,2003_05_29,37720,1,0,,,,,,,
Malaysia,5,2003_05_29,37761,3,2,,,,,,,
Mongolia,9,2003_05_29,37747,9,0,,,,,,,
New Zealand,1,2003_05_29,37741,1,0,,,,,,,
Philippines,12,2003_05_29,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_29,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_29,37755,2,0,,,,,,,
Romania,1,2003_05_29,37707,1,0,,,,,,,
Singapore,206,2003_05_29,37759,165,31,,,,,,,
South Africa,1,2003_05_29,37720,0,1,,,,,,,
Spain,1,2003_05_29,37713,1,0,,,,,,,
Sweden,3,2003_05_29,37729,3,0,,,,,,,
Switzerland,1,2003_05_29,37697,1,0,,,,,,,
Thailand,8,2003_05_29,37754,6,2,,,,,,,
United Kingdom,4,2003_05_29,37740,4,0,,,,,,,
United States,66,2003_05_29,37768,32,0,,,,,,,
Viet Nam,63,2003_05_29,37725,58,5,,,,,,,
Total,8295,2003_05_29,,4994,750,,,,,,,
Australia,6,2003_05_30,37753,6,0,,,,,,,
Brazil,2,2003_05_30,37721,2,0,,,,,,,
Canada,159,2003_05_30,37770,112,28,,,,,,,
China,5328,2003_05_30,37771,3250,328,,,,,,,
"China, Hong Kong Special Administrative Region^4",1736,2003_05_30,37771,1304,274,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_30,37762,0,0,,,,,,,
"China, Taiwan",667,2003_05_30,37771,125,81,,,,,,,
Colombia,1,2003_05_30,37746,1,0,,,,,,,
Finland,1,2003_05_30,37748,1,0,,,,,,,
France,7,2003_05_30,37750,6,0,,,,,,,
Germany,9,2003_05_30,37750,9,0,,,,,,,
India,3,2003_05_30,37754,3,0,,,,,,,
Indonesia,2,2003_05_30,37734,2,0,,,,,,,
Italy,9,2003_05_30,37740,9,0,,,,,,,
Kuwait,1,2003_05_30,37720,1,0,,,,,,,
Malaysia,5,2003_05_30,37761,3,2,,,,,,,
Mongolia,9,2003_05_30,37747,9,0,,,,,,,
New Zealand,1,2003_05_30,37741,1,0,,,,,,,
Philippines,12,2003_05_30,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_30,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_30,37755,3,0,,,,,,,
Romania,1,2003_05_30,37707,1,0,,,,,,,
Singapore,206,2003_05_30,37759,165,31,,,,,,,
South Africa,1,2003_05_30,37720,0,1,,,,,,,
Spain,1,2003_05_30,37713,1,0,,,,,,,
Sweden,3,2003_05_30,37729,3,0,,,,,,,
Switzerland,1,2003_05_30,37697,1,0,,,,,,,
Thailand,8,2003_05_30,37754,6,2,,,,,,,
United Kingdom,4,2003_05_30,37740,4,0,,,,,,,
United States,66,2003_05_30,37768,32,0,,,,,,,
Viet Nam,63,2003_05_30,37725,58,5,,,,,,,
Total,8317,2003_05_30,,5129,754,,,,,,,
Australia,6,2003_05_31,37753,6,0,,,,,,,
Brazil,2,2003_05_31,37721,2,0,,,,,,,
Canada,188,2003_05_31,37771,116,30,,,,,,,
China,5328,2003_05_31,37772,3371,332,,,,,,,
"China, Hong Kong Special Administrative Region^5",1739,2003_05_31,37772,1310,278,,,,,,,
"China, Macao Special Administrative Region",1,2003_05_31,37762,0,0,,,,,,,
"China, Taiwan",676,2003_05_31,37772,129,81,,,,,,,
Colombia,1,2003_05_31,37746,1,0,,,,,,,
Finland,1,2003_05_31,37748,1,0,,,,,,,
France,7,2003_05_31,37750,6,0,,,,,,,
Germany,10,2003_05_31,37771,9,0,,,,,,,
India,3,2003_05_31,37754,3,0,,,,,,,
Indonesia,2,2003_05_31,37734,2,0,,,,,,,
Italy,9,2003_05_31,37740,9,0,,,,,,,
Kuwait,1,2003_05_31,37720,1,0,,,,,,,
Malaysia,5,2003_05_31,37761,3,2,,,,,,,
Mongolia,9,2003_05_31,37747,9,0,,,,,,,
New Zealand,1,2003_05_31,37741,1,0,,,,,,,
Philippines,12,2003_05_31,37756,10,2,,,,,,,
Republic of Ireland,1,2003_05_31,37701,1,0,,,,,,,
Republic of Korea,3,2003_05_31,37755,3,0,,,,,,,
Romania,1,2003_05_31,37707,1,0,,,,,,,
Russian Federation,1,2003_05_31,37772,0,0,,,,,,,
Singapore,206,2003_05_31,37759,165,31,,,,,,,
South Africa,1,2003_05_31,37720,0,1,,,,,,,
Spain,1,2003_05_31,37713,1,0,,,,,,,
Sweden,3,2003_05_31,37729,3,0,,,,,,,
Switzerland,1,2003_05_31,37697,1,0,,,,,,,
Thailand,8,2003_05_31,37754,6,2,,,,,,,
United Kingdom,4,2003_05_31,37740,4,0,,,,,,,
United States,66,2003_05_31,37768,32,0,,,,,,,
Viet Nam,63,2003_05_31,37725,58,5,,,,,,,
Total,8360,2003_05_31,,5264,764,,,,,,,
Australia,5,2003_06_02,37753,5,0,,,,,,,
Brazil,2,2003_06_02,37721,2,0,,,,,,,
Canada,198,2003_06_02,37773,116,30,,,,,,,
China,5328,2003_06_02,37774,3495,334,,,,,,,
"China, Hong Kong Special Administrative Region^5",1746,2003_06_02,37774,1319,282,,,,,,,
"China, Macao Special Administrative Region",1,2003_06_02,37762,1,0,,,,,,,
"China, Taiwan",684,2003_06_02,37774,134,81,,,,,,,
Colombia,1,2003_06_02,37746,1,0,,,,,,,
Finland,1,2003_06_02,37748,1,0,,,,,,,
France,7,2003_06_02,37750,6,0,,,,,,,
Germany,10,2003_06_02,37771,9,0,,,,,,,
India,3,2003_06_02,37754,3,0,,,,,,,
Indonesia,2,2003_06_02,37734,2,0,,,,,,,
Italy,9,2003_06_02,37740,9,0,,,,,,,
Kuwait,1,2003_06_02,37720,1,0,,,,,,,
Malaysia,5,2003_06_02,37761,3,2,,,,,,,
Mongolia,9,2003_06_02,37747,9,0,,,,,,,
New Zealand,1,2003_06_02,37741,1,0,,,,,,,
Philippines,12,2003_06_02,37756,10,2,,,,,,,
Republic of Ireland,1,2003_06_02,37701,1,0,,,,,,,
Republic of Korea,3,2003_06_02,37755,3,0,,,,,,,
Romania,1,2003_06_02,37707,1,0,,,,,,,
Russian Federation,1,2003_06_02,37772,0,0,,,,,,,
Singapore,206,2003_06_02,37759,165,31,,,,,,,
South Africa,1,2003_06_02,37720,0,1,,,,,,,
Spain,1,2003_06_02,37713,1,0,,,,,,,
Sweden,3,2003_06_02,37729,3,0,,,,,,,
Switzerland,1,2003_06_02,37697,1,0,,,,,,,
Thailand,8,2003_06_02,37754,6,2,,,,,,,
United Kingdom,4,2003_06_02,37740,4,0,,,,,,,
United States,66,2003_06_02,37768,32,0,,,,,,,
Viet Nam,63,2003_06_02,37725,58,5,,,,,,,
Total,8384,2003_06_02,,5402,770,,,,,,,
Australia,5,2003_06_03,37753,5,0,,,,,,,
Brazil,2,2003_06_03,37721,2,0,,,,,,,
Canada,213,2003_06_03,37774,116,31,,,,,,,
China,5329,2003_06_03,37775,3558,334,,,,,,,
"China, Hong Kong Special Administrative Region4",1747,2003_06_03,37775,1326,283,,,,,,,
"China, Macao Special Administrative Region",1,2003_06_03,37762,1,0,,,,,,,
"China, Taiwan",679,2003_06_03,37775,136,81,,,,,,,
Colombia,1,2003_06_03,37746,1,0,,,,,,,
Finland,1,2003_06_03,37748,1,0,,,,,,,
France,7,2003_06_03,37750,6,0,,,,,,,
Germany,10,2003_06_03,37771,9,0,,,,,,,
India,3,2003_06_03,37754,3,0,,,,,,,
Indonesia,2,2003_06_03,37734,2,0,,,,,,,
Italy,9,2003_06_03,37740,9,0,,,,,,,
Kuwait,1,2003_06_03,37720,1,0,,,,,,,
Malaysia,5,2003_06_03,37761,3,2,,,,,,,
Mongolia,9,2003_06_03,37747,9,0,,,,,,,
New Zealand,1,2003_06_03,37741,1,0,,,,,,,
Philippines,12,2003_06_03,37756,10,2,,,,,,,
Republic of Ireland,1,2003_06_03,37701,1,0,,,,,,,
Republic of Korea,3,2003_06_03,37755,3,0,,,,,,,
Romania,1,2003_06_03,37707,1,0,,,,,,,
Russian Federation,1,2003_06_03,37772,0,0,,,,,,,
