Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Romania,1,2003-06-05,1,0,,,,,
Russian Federation,1,2003-06-05,0,0,,,,,
Singapore,206,2003-06-05,165,31,,,,,
South Africa,1,2003-06-05,0,1,,,,,
Spain,1,2003-06-05,1,0,,,,,
Sweden,3,2003-06-05,3,0,,,,,
Switzerland,1,2003-06-05,1,0,,,,,
Thailand,8,2003-06-05,6,2,,,,,
United Kingdom,4,2003-06-05,4,0,,,,,
United States,69,2003-06-05,34,0,,,,,
Viet Nam,63,2003-06-05,58,5,,,,,
Total,8403,2003-06-05,5830,775,,,,,
Australia,5,2003-06-06,5,0,,,,,
Brazil,2,2003-06-06,2,0,,,,,
Canada,219,2003-06-06,120,31,,,,,
China,5329,2003-06-06,3869,338,,,,,
"China, Hong Kong Special Administrative Region^4",1750,2003-06-06,1350,286,,,,,
"China, Macao Special Administrative Region",1,2003-06-06,1,0,,,,,
"China, Taiwan",676,2003-06-06,257,81,,,,,
Colombia,1,2003-06-06,1,0,,,,,
Finland,1,2003-06-06,1,0,,,,,
France,7,2003-06-06,6,0,,,,,
Germany,10,2003-06-06,9,0,,,,,
India,3,2003-06-06,3,0,,,,,
Indonesia,2,2003-06-06,2,0,,,,,
Italy,9,2003-06-06,9,0,,,,,
Kuwait,1,2003-06-06,1,0,,,,,
Malaysia,5,2003-06-06,3,2,,,,,
Mongolia,9,2003-06-06,9,0,,,,,
New Zealand,1,2003-06-06,1,0,,,,,
Philippines,12,2003-06-06,10,2,,,,,
Republic of Ireland,1,2003-06-06,1,0,,,,,
Republic of Korea,3,2003-06-06,3,0,,,,,
Romania,1,2003-06-06,1,0,,,,,
Russian Federation,1,2003-06-06,0,0,,,,,
Singapore,206,2003-06-06,165,31,,,,,
South Africa,1,2003-06-06,0,1,,,,,
Spain,1,2003-06-06,1,0,,,,,
Sweden,3,2003-06-06,3,0,,,,,
Switzerland,1,2003-06-06,1,0,,,,,
Thailand,8,2003-06-06,6,2,,,,,
United Kingdom,4,2003-06-06,4,0,,,,,
United States,68,2003-06-06,35,0,,,,,
Viet Nam,63,2003-06-06,58,5,,,,,
Total,8404,2003-06-06,5937,779,,,,,
Australia,5,2003-06-09,5,0,,,,,
Brazil,2,2003-06-09,2,0,,,,,
Canada,229,2003-06-09,128,32,,,,,
China,5328,2003-06-09,4186,340,,,,,
"China, Hong Kong Special Administrative Region^5",1753,2003-06-09,1365,288,,,,,
"China, Macao Special Administrative Region",1,2003-06-09,1,0,,,,,
"China, Taiwan",680,2003-06-09,257,81,,,,,
Colombia,1,2003-06-09,1,0,,,,,
Finland,1,2003-06-09,1,0,,,,,
France,7,2003-06-09,6,0,,,,,
Germany,10,2003-06-09,9,0,,,,,
India,3,2003-06-09,3,0,,,,,
Indonesia,2,2003-06-09,2,0,,,,,
Italy,9,2003-06-09,9,0,,,,,
Kuwait,1,2003-06-09,1,0,,,,,
Malaysia,5,2003-06-09,3,2,,,,,
Mongolia,9,2003-06-09,9,0,,,,,
New Zealand,1,2003-06-09,1,0,,,,,
Philippines,12,2003-06-09,10,2,,,,,
Republic of Ireland,1,2003-06-09,1,0,,,,,
